reference,quantity,value,symbol,footprint,selection_notes
C1,1,2.2u / 100V film,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C2,1,47u / 63V BP,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C3,1,100n / 100V,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C4,1,100n / 100V,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C5,1,100n / 100V film,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C6,1,470u / 63V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
C7,1,470u / 63V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
C8,1,100u / 100V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
C101,1,2.2u / 100V film,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C102,1,47u / 63V BP,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C103,1,100n / 100V,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C104,1,100n / 100V,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C105,1,100n / 100V film,C,,Film unless 47u BP (nonpolar); 100n supply bypass may use X7R
C106,1,470u / 63V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
C107,1,470u / 63V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
C108,1,100u / 100V,CP,,"Polarized; pin 1 positive, pin 2 negative; verify ripple and temperature rating"
J1,1,L RCA,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
J2,1,L TEST OUT,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
J3,1,R RCA,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
J4,1,R TEST OUT,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
J5,1,INTERNAL PSU,Conn3,,"Internal PSU harness; pin1 VCC, pin2 GND, pin3 VEE; current rating TBD"
JP1,1,L RUN LINK,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
JP2,1,R RUN LINK,Conn2,,Connector/panel hardware TBD; RUN switch contacts >=60V DC if substituted
L1,1,0.7uH / air core,L,,Air core; DCR <=0.05 ohm target; >=4A peak; thermal validation required
L2,1,0.7uH / air core,L,,Air core; DCR <=0.05 ohm target; >=4A peak; thermal validation required
R1,1,1M,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R2,1,22k,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R3,1,1k / 1%,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R4,1,20k / 1%,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R5,1,2.7R / 2W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R6,1,1k,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R7,1,10R / 2W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R8,1,22k / 0.6W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R101,1,1M,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R102,1,22k,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R103,1,1k / 1%,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R104,1,20k / 1%,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R105,1,2.7R / 2W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R106,1,1k,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R107,1,10R / 2W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
R108,1,22k / 0.6W,R,,1% metal film; 0.25W unless value specifies 2W; output resistors low inductance
U1,1,LM3886T,LM3886,,LM3886T/NOPB; non-isolated T package; footprint TBD
U2,1,LM3886T,LM3886,,LM3886T/NOPB; non-isolated T package; footprint TBD
